text,label
Do Jog,Health
Go for Money,Errands
Store,Errands
Pay FoodGas station,Errands
Visit Computer,School
Schedule Weight,Health
Pay Job,Work
Pay Jog,Health
Get Dishes,Personal
Do Garden,Errands
Goto Boss,Work
Get Vitamin,Health
Goto Therapist,Health
Go for Study,School
Do Email,Work
Schedule Mom,Social
Get School,School
Pay Deadline,Work
Do Project,Work
Get Personal,Personal
Goto Read,School
Do Mom,Social
Store,Errands
Do Surgery,Health
Visit Teacher,School
Go for Party,Social
Get Quiz,School
Schedule Programming,Work
Goto Dinner,Errands
Get Lift weights,Health
Visit Movie,Social
Pay Computer,Work
Finish Friends,Social
Go for Computer,Work
Pay Professor,School
Game,Social
Schedule Job,Work
Schedule Decoration,Personal
Goto Money,Errands
Go for Professor,School
Get Computer,Work
Goto Bank,Errands
Finish Teacher,School
Finish Homework,School
Get DMV,Errands
Goto Protein,Health
Goto Club,Social
Goto Read,School
Get Jog,Health
Finish Art,School
Goto Wash,Personal
Go for Room,Personal
Visit Milk,Errands
Finish Mail,Errands
Boss,Work
Finish Food,Errands
Pay Therapist,Health
Visit Workout,Health
Goto Quiz,School
Go for Study,School
Finish Report,Work
Pay Pharmacy,Errands
Visit Hair,Personal
Pay Wash,Personal
Do Project,School
Get Stretch,Health
Bed,Personal
Get Doctor,Health
Visit Lecture,School
Schedule FoodGas station,Errands
Pay University,School
Pay Insurance,Errands
Pay Car,Errands
Do Meeting,Work
Finish Programming,Work
Health,Health
Pay Event,Social
Get Governors State,School
Finish Recruiter,Work
Visit Call,Social
Decoration,Personal
Go for Restaurant,Social
Get Bank,Errands
Goto Body,Personal
Pay 4th of JulyPhone,Social
Interview,Work
Get Food,Social
Gym,Health
Visit Manager,Work
Go for Stretch,Health
Do Sibling,Social
Do Family,Social
Go for Update,Work
Finish Bill,Errands
Goto College,School
Jog,Health
Trash,Errands
Visit Service,Errands
Pay Walk,Health
Kitchen,Personal
Pay Nails,Personal
Go for Party,Social
Do Work,Work
Go for FoodGas station,Errands
Finish Money,Errands
Visit Exam,School
Visit Lunch,Errands
Do Catering,Social
Do Call Mom,Personal
Do Club,Social
Do Teacher,School
Schedule BrushMeditate,Personal
Goto Meeting,Work
Client,Work
Finish Birthday,Social
Finish Art,School
Visit Insurance,Errands
Finish Clothes,Personal
Visit Manager,Work
Goto Mail,Errands
Pay Email,School
Portfolio,Work
Goto Bar,Social
Schedule Running,Health
Pay Lift,Health
Goto Food,Social
Visit Project,Work
Visit Interview,Work
Do Hand,Personal
Schedule Restaurant,Social
Go for Hair,Personal
Deadline,Work
Schedule Event,Social
Go for Taxes,Errands
Pay Study,School
Finish Kitchen,Personal
Go for Deadline,Work
Do Wash,Personal
Goto Catering,Social
Do Read,School
Schedule Bed,Personal
Get Personal,Personal
Email,School
Visit Study,School
Book,School
Goto Governors State,School
Schedule Trash,Errands
Do Surgery,Health
Exam,School
Vitamin,Health
Do Computer,School
Finish Cook,Personal
School,School
Do Run,Health
Do Walk,Health
DMV,Errands
Visit Jog,Health
Do University,School
Finish Catering,Social
Finish Protein,Health
Pay Mop,Personal
Goto College,School
Do Lab,School
Do Study,School
Goto Call Dad,Personal
Goto Work,Work
Do Clothes,Personal
Pay Email,School
FoodGas station,Errands
Finish Programming,Work
Update,Work
Get Art,Personal
Personal,Personal
Get Report,Work
Get Laundry,Personal
Finish Call Dad,Personal
Do Book,School
Pay Read,School
Finish Hair,Personal
Get Meeting,Work
Do Mail,Errands
Pay Face,Personal
Schedule Milk,Errands
Do Client,Work
Schedule Boss,Work
Finish Meeting,Work
Finish Meeting,Work
Store,Errands
Do Plant,Errands
Pay Walk,Health
Do Insurance,Errands
Cook,Personal
Do Food,Social
Go for Elliptical,Health
Get Fruit,Health
Schedule Refund,Errands
Movie,Social
Finish Update,Work
Do Quiz,School
Schedule Garden,Errands
Pay Client,Work
Goto Internship,Work
Goto Bar,Social
Finish Lunch,Errands
Go for Email,Work
Get Computer,Work
Visit Clothes,Personal
Finish Lift weights,Health
Medicine,Health
Pay Meeting,Work
Dinner,Errands
Finish University,School
Elliptical,Health
Schedule Elliptical,Health
Get Art,School
Finish Design,Work
Get Professor,School
Pay Update,Work
Goto BrushMeditate,Personal
Goto Email,School
Get Bill,Errands
Visit Situps,Health
Go for Jump rope,Health
Get 4th of JulyPhone,Social
Pay Dishes,Personal
Do University,School
Pay Doctor,Health
Pay Lab,School
Finish Surgery,Health
Kitchen,Personal
Go for Book,School
Goto Computer,Work
Visit Call Mom,Personal
Pay Vegetables,Health
Pay Governors State,School
Visit Water,Health
Goto Teacher,School
Pay Birthday,Social
Visit Laundry,Personal
Get Hobby,Personal
Schedule Garden,Errands
Interview,Work
Get FoodGas station,Errands
Visit Dad,Social
Finish Work,Work
Pay Dry,Personal
Finish Recruiter,Work
Goto Club,Social
Finish Clean,Errands
Do 4th of JulyPhone,Social
Goto Body,Personal
Pay Game,Social
Visit Book,School
Get Running,Health
Go for Homework,School
Visit Protein,Health
Schedule Taxes,Errands
Goto Event,Social
Get Professor,School
Do Study,School
Finish Job,Work
Go for Doctor,Health
Pay Shave,Personal
Visit Hair,Personal
Do Bank,Errands
Go for Refund,Errands
Pay Run,Health
Goto Meeting,Work
Visit Email,Work
Visit Movie,Social
Schedule Recruiter,Work
Go for Trash,Errands
Go for Clean,Errands
Get Catering,Social
Schedule Bill,Errands
Goto Email,School
Schedule Plant,Errands
Event,Social
Schedule Computer,School
Go for Book,School
Coworker,Work
Finish Garden,Errands
Finish College,School
Get Report,Work
Do Email,School
Get Milk,Errands
Finish Event,Social
